SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Pathfinder Academy,charter,2542 N 76th Place,Mesa,Maricopa,85207-,n,n/a,21,61.9,38.1,100,28.6,52.4,90,23.8,57.1,90,61.9,38.1,100,61.9,38.1,100,61.9,38.1,100,61.9,38.1,100,57.1,0,N/A
Patterson Elementary,public,615 S Cheshire Blvd,Mesa,Maricopa,85208-7152,y,rn,97,93.8,6.2,100,90.7,7.2,99,90.7,7.2,99,93.8,6.2,100,93.8,6.2,100,94.8,5.2,100,99,1,100,8.2,0,N/A
Patterson Elementary School,public,1211 E. Guadalupe Rd,Gilbert,Maricopa,85234-4889,y,rn,78,97.4,2.6,100,92.3,2.6,99,92.3,3.8,99,96.2,2.6,99,97.4,2.6,100,96.2,3.8,100,94.9,1.3,96,3.8,0,N/A
Paul Dunbar Lawrence School,public,707 W. Grant St.,Phoenix,Maricopa,85007-,n, ,23,95.7,4.3,100,95.7,4.3,100,95.7,4.3,100,95.7,4.3,100,95.7,4.3,100,95.7,4.3,100,100,0,100,4.3,0,N/A
Paul Huber Middle School,public,1650 Washington Avenue,Douglas,Cochise,85607-1650,n, ,141,98.6,.7,99,97.9,.7,99,97.2,.7,98,98.6,.7,99,99.3,.7,100,98.6,.7,99,100,0,100,.7,0,N/A
Paulo Freire Freedom School,charter,300 E University Blvd Suite 10,Tucson,Pima,85705-,n, ,25,80,20,100,40,24,88,12,8,36,72,8,80,72,8,80,68,8,76,92,8,100,8,0,N/A
Paulo Freire Freedom School - Downtown,charter,47 E. Pennington Street,Tucson,Pima,85701-____,n, ,22,81.8,0,82,31.8,0,32,40.9,0,41,81.8,0,82,86.4,0,86,86.4,0,86,86.4,0,86,0,0,N/A
Pecan Grove Elementary School,public,600 South 21st Avenue,Yuma,Yuma,85364-,y,lpn,43,100,0,100,60.5,0,100,67.4,0,88,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Pendergast,public,3800 N. 91st Ave,Phoenix,Maricopa,85037-,n, ,88,100,0,100,97.7,1.1,100,97.7,1.1,100,100,0,100,100,0,100,100,0,100,100,0,100,1.1,0,N/A
Peoria Traditional School,public,21180 N 87th Ave,Peoria,Maricopa,85382-,y,rn,26,96.2,3.8,100,76.9,11.5,92,80.8,11.5,92,96.2,3.8,100,96.2,3.8,100,96.2,3.8,100,100,0,100,11.5,0,N/A
