SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
ALEGRIAS CHILD CARE & LEARNING CENTER,N/A,7420 SOUTH RURAL ROAD,TEMPE,Maricopa,85283,N/A,,36,86.1,-,N/A,94.4,-,N/A,91.7,-,N/A,94.4,-,N/A,75,-,N/A,94.4,-,N/A,91.7,-,N/A,5.6,0,N/A
ALHAMBRA DISTRICT HEADSTART AGENCY,N/A,3001 W Hazelwood Ave,Phoenix,Maricopa,85019,N/A,,434,99.1,-,N/A,99.5,-,N/A,100,-,N/A,97,-,N/A,99.1,-,N/A,99.3,-,N/A,100,-,N/A,0,0,N/A
ALHAMBRA PRESCHOOL PROGRAM,N/A,6530 N 44TH AVE,GLENDALE,Maricopa,85301,N/A,,105,100,-,N/A,100,-,N/A,99,-,N/A,98.1,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ALL SAINTS EPISCOPAL DAY SCHOOL,N/A,6300 NORTH CENTRAL AVENUE,PHOENIX,Maricopa,85012,N/A,,21,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ALL STAR PRESCHOOL,N/A,1830 NORTH COUNTRY CLUB DRIVE,MESA,Maricopa,85201,N/A,,46,47.8,-,N/A,87,-,N/A,89.1,-,N/A,71.7,-,N/A,52.2,-,N/A,82.6,-,N/A,89.1,-,N/A,0,0,N/A
ALTA LOMA ELEMENTARY PRESCHOOL,N/A,9750 NORTH 87TH AVENUE,PEORIA,Maricopa,85345,N/A,,35,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AMERICAN CHILD CARE,N/A,8515 NORTH 51ST AVENUE,GLENDALE,Maricopa,85302,N/A,,39,74.4,-,N/A,87.2,-,N/A,84.6,-,N/A,84.6,-,N/A,66.7,-,N/A,89.7,-,N/A,87.2,-,N/A,0,0,N/A
AMERICAN CHILD CARE #48,N/A,4715 WEST THOMAS ROAD,PHOENIX,Maricopa,85031,N/A,,48,62.5,-,N/A,85.4,-,N/A,81.3,-,N/A,81.3,-,N/A,60.4,-,N/A,85.4,-,N/A,79.2,-,N/A,0,0,N/A
"AMERICAN CHILD CARE, # 52",N/A,5933 WEST MCDOWELL ROAD,PHOENIX,Maricopa,85035,N/A,,26,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,96.2,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AMERICAN EVANGELICAL LUTHERAN PRESCHOOL ,N/A,1830 WEST GLENROSA AVENUE,PHOENIX,Maricopa,85015,N/A,,29,96.6,-,N/A,96.6,-,N/A,96.6,-,N/A,96.6,-,N/A,93.1,-,N/A,96.6,-,N/A,89.7,-,N/A,3.4,0,N/A
AMIGO PRESCHOOLS,N/A,4035 NORTH 71ST AVENUE,PHOENIX,Maricopa,85033,N/A,,39,94.9,-,N/A,97.4,-,N/A,100,-,N/A,100,-,N/A,87.2,-,N/A,97.4,-,N/A,100,-,N/A,0,0,N/A
ANDERSON PREPARATORY ACADEMY  L L C,N/A,14235 NORTH 7TH STREET,PHOENIX,Maricopa,85022,N/A,,55,96.4,-,N/A,96.4,-,N/A,96.4,-,N/A,96.4,-,N/A,87.3,-,N/A,94.5,-,N/A,94.5,-,N/A,3.6,0,N/A
