SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
 1st Street Kindercare,N/A,1621 East 1st St,Tucson,Pima,85719-,n, ,32,100,0,10000,100,0,100,100,0,100,100,0,100,53,0,53,100,0,100,93.8,0,94,3.1,0,0
 Hull Elementary,N/A,2424 East Maren Drive,Chandler,Maricopa,85249,n, ,41,93,7.3,10000,93,7.3,100,95,4.9,100,93,7.3,100,83,17.1,100,90,9.8,100,92.7,7.3,100,22,0,2.4
5th Place Community Childcare,N/A,306 W.5th Place,Mesa,Maricopa,85201-,n, ,21,100,0,10000,100,0,100,100,0,100,0,0,0,100,0,100,100,0,100,100,0,100,0,0,0
91st Psalm Christian School,N/A,2020 E. Baseline Rd,Phoenix,Maricopa,85042-,n, ,22,91,9.1,10000,91,9.1,100,91,9.1,100,91,9.1,100,91,9.1,100,77,13.6,91,86.4,13.6,100,18.2,0,9.1
A Dream Come True Child Care And Pre School,N/A,6163 S. Midvale Park Road,Tucson ,Pima,85746-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A Kiddies Kingdom,N/A,2318 N. 35th Ave.,Phoenix,Maricopa,85009-,n, ,92,96,0,9600,98,0,98,100,0,100,93,0,93,90,0,90,98,0,98,100,0,100,0,0,0
A Neighborhood Early Learning Center,N/A,150 South  Westmoreland,Tucson,Pima,85718,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A Shining Star Preschool Inc,N/A,810 East Southern Avenue,Mesa,Maricopa,85204-,n, ,29,100,0,10000,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
A Step Ahead Preschool,N/A,4221 E. Chandler Blvd. Suite 113,Phoenix,Maricopa,85048-,n, ,52,100,0,10000,100,0,100,100,0,100,100,0,100,98,1.9,100,98,1.9,100,98.1,1.9,100,1.9,0,0
A.e.s.d. Desert Thunder School,N/A,16750 West Garfield Street,Goodyear,Maricopa,85338,y,lpn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d. Wildflower School,N/A,325 South Wildflower Drive,Goodyear,Maricopa,85338,y,rn,52,100,0,10000,100,0,100,100,0,100,98,1.9,100,96,0,96,98,0,98,100,0,100,1.9,0,0
A.e.s.d.#63 - Aguila Elementary School,N/A,50023 North 514th Avenue,Aguila,Maricopa,85320,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d.#68 - Alhambra Head Start - Westwood,N/A,4711 North 23rd Avenue,Phoenix,Maricopa,85015,n, ,99,97,1,9800,99,1,100,99,1,100,97,1,98,96,1,97,99,1,100,99,1,100,1,0,1
A.e.s.d.#68 - Alhambra Preschool Programs,N/A,4530 West Campbell Avenue,Phoenix,Maricopa,85031,n, ,79,100,0,10000,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
A.e.s.d.#68 - Cordova Primary,N/A,6615 North 39th Avenue,Phoenix,Maricopa,85019,n, ,67,100,0,10000,100,0,100,64,35.8,100,97,0,97,97,3,100,13,0,13,13.4,0,13,0,0,0
A.e.s.d.#68 - Head Start - Granada Primary School,N/A,3232 West Campbell Avenue,Phoenix,Maricopa,85017,n, ,91,99,0,9900,100,0,100,100,0,100,99,0,99,98,0,98,100,0,100,100,0,100,0,0,0
A.e.s.d.#68 - Head Start - Sevilla Primary School,N/A,3801 West Missouri Avenue,Phoenix,Maricopa,85019,n, ,96,97,0,9700,99,0,99,100,0,100,97,0,97,96,0,96,100,0,100,100,0,100,0,0,0
Abc's Preschool And Daycare Center,N/A,13615 N. 35th Ave Suite #7,Phoenix,Maricopa,85029-,n, ,20,100,0,10000,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Above And Beyond Preschool,N/A,17475 West Bell Road,Surprise,Maricopa,85374,n, ,102,98,2,10000,99,1,100,98,2,100,98,2,100,93,2,95,98,2,100,98,1,99,2.9,0,1
