SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,n/a,2020 E. Baseline Rd,Phoenix,Maricopa,85042-____,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Abraham Lincoln Traditional School,n/a,10444 N 39th Ave,Phoenix,Maricopa,85051,n, ,60,98,1.7,100,98,1.7,100,98,1.7,100,98,1.7,100,98,1.7,100,98,1.7,100,100,0,100,1.7,0,0
Acacia Elementary School,n/a,3021 W Evans Dr,Phoenix,Maricopa,85053,n, ,91,100,0,100,99,0,100,99,0,100,98,2.2,100,98,2.2,100,100,0,100,100,0,100,3.3,0,0
Academia Del Pueblo ,n/a,113 W. Sherman St. ,Phoenix,Maricopa,85003-,n, ,39,97,2.6,100,90,2.6,100,95,2.6,100,97,2.6,100,97,2.6,100,97,2.6,100,97,2.6,100,2.6,0,0
Academy Del Sol,n/a,7102 W  Valley Crest Pl,Tucson,Pima,85757-,n, ,59,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Academy Of Excellence,n/a,425 N. 36th Street,Phoenix,Maricopa,85008-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Academy Of Math & Science,n/a,3335 W. Flower St,Phoenix,Maricopa,85017-,n, ,34,100,0,100,100,0,100,97,2.9,100,100,0,100,100,0,100,100,0,100,100,0,100,2.9,0,0
Academy Of Math & Science Camelback,n/a,6633 W. Camelback Rd,Phoenix,Maricopa,85033-,n, ,43,88,2.3,91,42,2.3,100,35,2.3,42,88,2.3,91,88,2.3,91,88,2.3,91,88,2.3,91,2.3,0,2.3
Academy Of Math And Science,n/a,1557 W Prince Rd.,Tucson,Pima,85705-,n, ,36,97,2.8,100,97,2.8,100,97,2.8,100,97,2.8,100,97,2.8,100,97,2.8,100,97,2.8,100,2.8,0,0
Academy Of Tucson Middle School,n/a,7310 E. 22nd Street,Tucson,Pima,85710-,n, ,75,92,5.3,97,89,9.3,99,87,10.7,97,92,8,100,92,8,100,93,6.7,100,96,4,100,12,1.3,4
