SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Abraham Lincoln,charter,10444 N 39th Ave,Phoenix,Maricopa,85051-,N/A,,71,99,1.4,-,96,4.2,-,96,4.2,-,99,1.4,-,99,1.4,-,99,1.4,-,96,4.2,-,5.6,0,N/A
Acacia,public,3021 W. Evans Drive,Phoenix,Maricopa,85053,N/A,,121,98,.8,-,98,0,-,98,2.5,-,99,.8,-,99,.8,-,99,.8,-,100,0,-,1.7,.8,N/A
Academy Of Math And Science,charter,1557 W Prince Rd.,Tucson,Pima,85705-,N/A,,34,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Academy Of Tucson Middle School,charter,7310 E 22nd St,Tucson,Pima,85710,N/A,,66,100,0,-,86,10.6,-,86,9.1,-,97,3,-,98,1.5,-,100,0,-,100,0,-,10.6,0,N/A
Acclaim Academy,charter,7624 W. Indian School Rd.,Phoenix,Maricopa,85033-,N/A,,50,100,0,-,52,0,-,56,0,-,100,0,-,96,0,-,98,0,-,94,0,-,0,0,N/A
Acorn Montessori Charter,charter,8556 E. Loos Dr.,Prescott Valley,Yavapai,86314-,N/A,,28,100,0,-,82,0,-,82,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Adams Elementary School,public,738 S Longmore Rd,Mesa,Maricopa,85202-,N/A,,86,100,0,-,92,2.3,-,98,2.3,-,100,0,-,100,0,-,100,0,-,100,0,-,0,2.3,N/A
Adams Traditional Academy,charter,2323 W. Parkside ,Phoenix,Maricopa,85027-,N/A,,37,76,32.1,-,78,0,-,76,24.3,-,78,21.6,-,78,21.6,-,78,21.6,-,78,21.6,-,18.9,2.7,N/A
Agua Caliente Elementary School,public,11420 E Limberlost,Tucson,Pima,85749-,N/A,,76,99,1.3,-,93,6.6,-,91,9.2,-,97,2.6,-,96,3.9,-,97,2.6,-,97,2.6,-,7.9,1.3,N/A
Aire Libre Elementary School,public,16428 N 21st Street,Phoenix,Maricopa,85022-5405,N/A,,47,100,0,-,98,2.1,-,98,2.1,-,98,2.1,-,98,2.1,-,100,0,-,98,2.1,-,2.1,0,N/A
