SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,private,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,n,,21,86,9.5,95,86,9.5,95,91,9.5,100,91,9.5,100,,14.3,100,14.3,0,9.5
A J Mitchell Elementary School,public,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,y,rn,64,100,0,100,100,0,100,100,0,100,100,0,100,,0,100,0,0,0
Abia Judd,public,1749 N WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,y,rn,91,88,8.8,97,88,8.8,98,88,9.9,98,89,8.8,98,,9.9,99,8.8,1.1,0
Abraham Lincoln,public,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,n,,84,98,2.4,100,98,2.4,100,98,2.4,100,98,2.4,100,,0,100,2.4,0,2.4
Acacia Elementary School,public,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,n,,122,96,4.1,100,96,4.1,100,96,4.1,100,96,3.3,99,,3.3,100,4.1,0,0
Academy Adventures Midtown,charter,3025 N WINSTEL BLVD,TUCSON,PIMA,85716,n,,= 20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
Academy Adventures Primary School,charter,3902 N FLOWING WELLS RD,TUCSON,PIMA,85705,n,,= 20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
Academy Del Sol,charter,732 W ROGER RD,TUCSON,PIMA,85705,n,,25,100,0,100,100,0,100,100,0,100,100,0,100,,0,100,0,0,0
Academy Del Sol - Hope,charter,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,n,,76,99,1.3,100,99,1.3,100,99,1.3,100,99,1.3,100,,0,100,1.3,0,1.3
Academy Of Excellence,charter,425 N 36TH ST,PHOENIX,MARICOPA,85008,n,,= 20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a
Academy Of Math And Science,charter,1557 W PRINCE RD,TUCSON,PIMA,85705,n,,56,100,0,100,100,0,100,100,0,100,100,0,100,,0,100,0,0,0
Academy Of Math and Science Camelback,charter,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,n,,85,98,1.2,99,98,1.2,99,94,1.2,95,98,1.2,99,,1.2,99,1.2,0,1.2
Academy Of Mathematics And Science South,charter,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,n,,88,96,2.3,98,96,2.3,98,97,2.3,99,97,2.3,99,,2.3,99,2.3,0,0
