SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,n/a,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Abraham Lincoln School,n/a,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,n,,49,98,2,100,100,0,100,96,4.1,100,98,2,100,98,2,100,98,2,100,98,2,100,4.1,0,2
Academy Del Sol - Hope,n/a,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,n,,57,100,0,100,98,1.8,100,75,1.8,102,100,0,100,98,1.8,100,100,0,100,100,0,100,1.8,0,0
Academy Of Excellence,n/a,425 N 36TH ST,PHOENIX,MARICOPA,85008,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Academy Of Math And Science,n/a,1557 W PRINCE RD,TUCSON,PIMA,85705,n,,44,100,0,100,80,18.2,98,80,18.2,98,100,0,100,100,0,100,100,0,100,100,0,100,18.2,0,0
Academy Of Math and Science Camelback,n/a,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,n,,57,98,0,98,90,0,91,88,0,90,98,0,98,98,0,98,97,1.8,98,100,0,100,1.8,0,0
Academy Of Mathematics And Science South,n/a,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,n,,66,94,3,97,94,3,100,86,6.1,100,97,3,100,97,3,100,97,3,100,97,3,100,3,0,0
Academy Of Tucson Middle School,n/a,7310 E 22ND ST,TUCSON,PIMA,85710,n,,72,100,0,100,86,2.8,89,85,2.8,88,99,0,99,97,1.4,99,99,0,99,99,0,99,4.2,1.4,0
Accel,n/a,10251 N 35TH AVE,PHOENIX,MARICOPA,85051,y,rn,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Accel - East Campus,n/a,1430 E BASELINE RD,TEMPE,MARICOPA,85283,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Accelerated Learning Laboratory,n/a,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Acclaim Academy,n/a,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,n,,47,11,0,11,4,0,4,4,0,4,81,0,81,83,0,83,83,0,83,96,0,96,0,100,0
Acorn Montessori Charter School,n/a,8556 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,86314,n,,38,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Adams Elementary School,n/a,738 S LONGMORE,MESA,MARICOPA,85202,y,rn,88,99,0,99,98,1.1,100,98,1.1,100,100,0,100,100,0,100,100,0,100,99,1.1,100,2.3,1.1,0
Adams Traditional Academy,n/a,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,y,rn,61,98,1.6,100,89,11.5,100,85,14.8,100,98,1.6,100,95,4.9,100,98,1.6,100,97,3.3,100,50.8,0,1.6
Agua Caliente Elementary School,n/a,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,y,rn,80,99,1.3,100,99,1.3,100,99,1.3,100,99,1.3,100,99,1.3,100,99,1.3,100,99,1.3,100,1.3,0,0
Aguila Elementary School,n/a,50023 N. 51ST AVE,AGUILA,MARICOPA,85320,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aire Libre Elementary School,n/a,16428 N 21ST ST,PHOENIX,MARICOPA,85022,y,rn,61,93,4.9,98,97,0,97,95,4.9,100,98,1.6,100,97,3.3,100,98,1.6,100,98,0,98,4.9,0,1.6
Alfred F Garcia School,n/a,1441 S 27TH AVE,PHOENIX,MARICOPA,85009,y,lpn,55,100,0,100,93,0,93,93,0,93,98,0,98,100,0,100,100,0,100,100,0,100,0,0,0
Alhambra Traditional School,n/a,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,y,lpn,76,99,1.3,100,96,2.6,99,96,2.6,99,99,1.3,100,99,1.3,100,100,0,100,100,0,100,2.6,0,0
Alice Vail Middle School,n/a,5350 E 16TH ST,TUCSON,PIMA,85711,y,rn,267,100,.4,100,97,1.5,99,97,1.1,99,99,.4,100,99,.7,100,99,.7,100,99,.7,100,1.5,0,0
All Saints Catholic School,n/a,1425 E YAQUI ST,SIERRA VISTA,COCHISE,85650,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Saints Episcopal Day School,n/a,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,y,rn,58,100,0,100,100,0,100,97,0,98,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Alpine Elementary School,n/a,"COUNTY RD 2311, #101",ALPINE,APACHE,85920,n,,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
