SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,private,2020 E. Baseline Rd,Phoenix,Maricopa,85042-____,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d.#68 - James W Rice Primary,public,4530 West Campbell Avenue,Phoenix,Maricopa,85031,y,lpn,240,100,0,100,100,0,100,100,0,100,100,0,100,2.9,0,100,0,0,0
A.j.mitchell,public,855 N Bautista Ave,Nogales,Santa Cruz,85621-,y,rn,63,94,0,94,94,0,97,100,0,100,100,0,100,100,0,100,0,0,0
Abraham Lincoln Traditional School,public,10444 N 39th Ave,Phoenix,Maricopa,85051,n, ,82,99,1.2,100,99,1.2,100,98,2.4,100,99,1.2,100,95.1,1.2,100,1.2,0,0
Acacia Elementary,charter,12955 East Colossal Cave Rd.,Vail,Pima,85641-,n, ,117,94,3.4,97,94,2.6,98,97,2.6,100,91,5.1,97,91.5,5.1,100,5.1,0,2.6
Acacia Elementary School,public,3021 W Evans Dr,Phoenix,Maricopa,85053,n, ,119,95,4.2,99,95,4.2,100,96,4.2,100,96,4.2,100,87.4,0,100,4.2,0,0
Academia Del Pueblo ,charter,113 W. Sherman St. ,Phoenix,Maricopa,85003-,n, ,54,100,0,100,100,0,100,100,0,100,100,0,100,79.6,0,100,0,0,0
Academy Adventures Midtown,charter,3025 N. Winstel,Tucson,Pima,85756-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Academy Adventures Primary School,charter,3902 N Flowing Wells Rd,Tucson,Pima,85718,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Academy Del Sol,charter,7102 W  Valley Crest Pl,Tucson,Pima,85757-,n, ,108,99,.9,100,99,.9,100,99,.9,100,99,.9,100,99.1,.9,100,.9,0,.9
