Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
85303,52301,2999,51516,4158,48256,3114,48739,3323,48280,2889,48711,4195
85304,65813,4603,65000,5362,61078,3643,60518,3230,56125,4200,56552,3645
85305,63410,5692,65721,3565,64926,3755,62689,8389,64286,7358,64315,6985
85306,56384,3249,55572,4039,56321,4441,55405,4672,58968,3167,57386,5136
85307,49805,9367,45564,4791,44169,4195,47757,4573,50270,5736,50431,3789
85308,70101,2393,69542,2176,68796,2422,68166,2066,68079,2433,70309,2635
85309,,,,,,,,,,,-666666666,-222222222
85310,89837,5589,87973,6889,86660,7123,90077,8111,90038,9761,92875,8589
85320,31136,6930,33098,5435,31250,12025,24423,11792,30903,9191,26034,7962
85321,24878,6050,27796,10391,28053,8305,26833,5261,30078,5593,34352,5148
85322,41932,21487,44327,24732,35500,36979,36154,12394,29018,10403,31667,6978
85323,48954,3971,46922,3831,44658,2131,45159,2092,43454,3269,46146,3981
85324,35751,4493,35810,4494,36442,7036,36150,7624,37031,9634,34516,9470
85325,29245,5019,27281,4335,28925,2746,29306,4079,32197,7931,40208,10051
85326,61385,2739,60446,3726,54867,5292,50546,3521,51611,2068,53694,2012
85328,42350,25563,54167,23190,56154,22860,44489,9542,36940,13053,37500,31853
85331,90328,7794,90921,6644,88938,5734,90038,7393,89988,7995,97195,5072
85332,33443,6190,36250,6030,36810,6820,35917,4955,38273,4971,38378,9574
85333,28125,5202,35000,10394,29688,7425,36250,13872,45568,11922,41111,12242
85334,28819,21650,29125,15592,29063,21614,33958,17287,40759,14497,45083,18505
85335,48166,3262,47095,2191,47237,2638,47564,3461,50326,2113,49504,2602
85336,28586,9850,29708,40256,29083,22671,30000,17339,,,38393,24395
85337,31034,5553,32105,5899,30242,4038,33311,4094,30625,3219,29608,2972
85338,69244,4150,70552,3779,67132,3426,65583,5542,65375,4507,70004,3469
85339,68758,3694,64673,5411,64054,4398,63690,3695,63418,3119,65693,3111
85340,76742,4708,75400,3668,76437,4307,78202,5342,81946,4047,84170,3317
85341,,,,,,,,,,,-666666666,-222222222
85342,35058,4151,40708,5717,42375,12536,43750,12275,39965,6370,40321,6272
85343,65903,35284,68906,21214,68839,14945,32404,54391,46688,34902,48690,26584
85344,32814,3228,33013,4172,35495,3096,35846,3710,34865,2836,36030,2881
85345,49014,3609,46574,2886,45886,2922,44513,1952,46416,1321,46746,1395
85346,36219,6339,41629,6382,39364,10258,41340,8828,33407,15653,39432,22993
85347,37375,23926,34800,17714,35977,2542,36689,2709,36373,2012,36229,2474
85348,29909,6819,32064,8867,36434,2751,36084,4581,36044,5311,35893,4154
85349,28548,4770,31074,4078,31601,4977,31064,3497,30697,2250,31793,2392
85350,31989,4800,31279,2798,30720,2420,31834,3264,31678,2629,34545,3421
85351,35010,1812,35344,1666,34613,1259,34729,1365,34664,1302,35453,1649
85352,19118,8045,20000,8687,21397,3873,24250,6848,29323,2839,29833,2165
85353,50566,3556,49886,5126,50066,4526,52371,2157,52552,2514,56640,2839
85354,61803,12189,60192,10565,52442,12435,48241,10028,47772,7081,48864,8243
85355,73138,10615,72070,5854,75625,6908,72919,3027,74727,9484,85421,10536
85356,40217,5509,38859,5598,42261,6067,40592,7256,42419,5158,45806,4387
85357,27663,2610,28800,3667,30089,4241,30625,3953,28482,12075,23854,7087
85360,28250,30596,26250,25065,39063,32762,26719,19924,27125,18505,38750,21265
85361,51786,10490,45824,9128,47738,3307,50000,6060,46344,5873,50489,10013
85362,26250,13146,28636,13759,30161,10277,26250,11842,27083,11503,32083,13261
85363,38208,4389,36960,4409,33884,4842,35737,4659,38205,5466,37136,5441
85364,40003,1979,38550,1874,39102,2074,38686,2081,38281,1927,39088,1839
85365,49473,3319,50720,3394,51947,3690,50979,3040,48572,2537,50301,2987
85367,50641,2695,51907,4141,50538,4014,52200,3665,50354,3608,48480,3840
85371,25057,7126,23409,5858,23317,5670,23182,3916,22000,3344,19612,2070
85373,50249,2935,50952,2049,49612,2744,50266,3081,51224,2701,51526,2035
85374,51955,2266,51576,2328,49093,2204,48143,1867,48681,1936,49515,1471
85375,48615,2398,48391,2660,47408,2643,46622,2310,46007,2571,46071,2404
85377,102716,54121,74559,36623,70625,35575,85436,24234,84485,23879,82340,22592
85379,72907,6123,70490,3988,70302,3952,71066,4210,72320,5521,74025,4085
85381,66556,2919,67532,4119,64862,3468,70980,3172,73817,4651,76015,4420
85382,64215,2430,65542,2971,64428,3404,63135,3370,64521,4388,62921,3065
85383,103819,2507,100877,5602,101526,6287,102047,4611,102773,3574,104814,3760
85387,62982,6378,59493,5582,58416,4957,61078,5634,61721,7055,66529,4481
85388,68219,4545,67134,6760,67461,4534,67900,4683,70686,4957,72048,3561
85390,40331,5405,40515,5084,41622,4400,40081,6671,42461,4890,43146,6672
