Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
85719,29298,2661,26907,1605,27009,1518,29100,2011,29813,2084,29972,2339
85723,,,,,,,,,,,-666666666,-222222222
85724,,,,,,,,,,,-666666666,-222222222
85726,,,,,,,,,,,-666666666,-222222222
85730,49648,2018,49271,2184,46733,2041,46558,1656,45873,1801,45852,1646
85735,46606,6169,49655,6089,52712,5621,47333,5004,46476,4513,45750,3563
85736,37401,8256,41125,8703,42361,10525,37400,9999,39597,8653,37283,5910
85737,83314,4308,82768,5932,82754,6773,80789,5261,80571,5676,74972,10888
85739,57044,3597,57869,3207,58376,3610,60681,3763,62063,3357,62063,2885
85741,55714,2596,53943,3259,51871,3315,51410,3587,51614,2656,54219,2784
85742,69879,4733,68189,3294,66887,4732,68209,3823,69395,4208,72650,3482
85743,67434,3127,70449,2702,69577,3289,69139,4353,68945,3847,70670,3640
85745,49662,5518,51610,3373,49380,3275,47432,3146,47841,3462,47751,2138
85746,45096,2049,41113,2255,41427,2318,41419,1311,39669,2546,41224,1474
85747,78212,4949,80763,6510,81474,8397,84230,7707,82024,6169,80794,3435
85748,66617,4492,69368,3910,69871,4144,65035,5002,64814,6481,69550,3489
85749,82069,5966,81824,4826,84151,4160,85861,3996,84583,4503,83517,3397
85750,80900,5127,78856,4265,74060,5886,73029,5172,72431,5548,72760,5111
85755,68892,10510,67077,9450,75648,7934,83326,9674,88305,4317,88466,5285
85756,47150,2892,47446,2789,46672,2721,45684,2986,43658,2424,45631,2266
85757,49919,2561,50865,3884,51220,4559,53300,3572,54199,4932,53250,6033
85901,39565,5090,38027,3308,38865,3153,40393,3806,41493,3671,44225,2919
85911,24844,19096,17083,21944,9754,18647,12031,23787,17721,12487,15833,8370
85912,,,,,,,24738,32989,40368,32501,-666666666,-222222222
85920,41447,11962,38750,7493,31607,16489,41827,15582,40909,14212,45625,13506
85922,48000,62903,73750,102068,73750,127293,33125,65330,55250,54734,-666666666,-222222222
85923,41536,4901,37303,24976,11799,30642,12122,37695,,,-666666666,-222222222
85924,29971,4489,34506,3408,35653,5503,34702,6432,33456,7191,38949,6575
