SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
A CHILD'S PLACE AT THE RANCHES L L C,N/A,3636 SOUTH ATHERTON BLVD,GILBERT,Maricopa,85297,N/A,,75,94.7,-,N/A,96,-,N/A,97.3,-,N/A,93.3,-,N/A,92,-,N/A,94.7,-,N/A,97.3,-,N/A,1.3,0,N/A
A Child's View Preschool,N/A,2854 W. Drexel Rd. Ste. 100,Tucson,Pima,85746,N/A,,35,100,-,N/A,100,-,N/A,100,-,N/A,97.1,-,N/A,82.9,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
A Dream Come True Preschool ,N/A,6163 S. Midvale Park,Tucson,Pima,85746,N/A,,21,90.5,-,N/A,95.2,-,N/A,100,-,N/A,90.5,-,N/A,57.1,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
A KIDDIE'S KINGDOM,N/A,2318 NORTH 35TH AVENUE,PHOENIX,Maricopa,85009,N/A,,61,96.7,-,N/A,100,-,N/A,100,-,N/A,98.4,-,N/A,95.1,-,N/A,98.4,-,N/A,100,-,N/A,0,1.6,N/A
A S U  MARY LOU FULTON TEACHERS COLLEGE PS,N/A,P O BOX 871711,TEMPE,Maricopa,85287,N/A,,37,94.6,-,N/A,94.6,-,N/A,97.3,-,N/A,97.3,-,N/A,91.9,-,N/A,97.3,-,N/A,91.9,-,N/A,2.7,0,N/A
A S U CHILD DEVELOPMENT LAB,N/A,P O BOX 873701,TEMPE,Maricopa,85287,N/A,,52,94.2,-,N/A,92.3,-,N/A,94.2,-,N/A,92.3,-,N/A,94.2,-,N/A,90.4,-,N/A,92.3,-,N/A,9.6,0,N/A
A S U CHILD STUDY LAB - PSYCH DEPT ,N/A,P O BOX 871104,TEMPE,Maricopa,85287,N/A,,71,91.5,-,N/A,91.5,-,N/A,91.5,-,N/A,91.5,-,N/A,74.6,-,N/A,83.1,-,N/A,90.1,-,N/A,5.6,0,N/A
A SHINING STAR PRESCHOOL INC,N/A,810 EAST SOUTHERN AVENUE,MESA,Maricopa,85204,N/A,,49,87.8,-,N/A,98,-,N/A,98,-,N/A,98,-,N/A,75.5,-,N/A,95.9,-,N/A,98,-,N/A,2,0,N/A
A STEP AHEAD PRESCHOOL & MONTESSORI,N/A,4221 EAST CHANDLER BOULEVARD #113,PHOENIX,Maricopa,85048,N/A,,54,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ABC Preschool - Kayenta Unified School District,N/A,P.O. Box 337,Kayenta,Navajo,86033,N/A,,76,98.7,-,N/A,100,-,N/A,100,-,N/A,97.4,-,N/A,93.4,-,N/A,100,-,N/A,98.7,-,N/A,0,1.3,N/A
ABOVE AND BEYOND PRESCHOOL,N/A,17475 WEST BELL ROAD,SURPRISE,Maricopa,85374,N/A,,110,93.6,-,N/A,95.5,-,N/A,95.5,-,N/A,93.6,-,N/A,92.7,-,N/A,94.5,-,N/A,94.5,-,N/A,8.2,0.9,N/A
ABUNDANT LOVE CHRISTIAN CHILD DEVELOPMENT CENTER,N/A,6849 WEST INDIAN SCHOOL ROAD,PHOENIX,Maricopa,85033,N/A,,22,81.8,-,N/A,95.5,-,N/A,90.9,-,N/A,90.9,-,N/A,81.8,-,N/A,95.5,-,N/A,90.9,-,N/A,0,0,N/A
