SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
ACTIVE LEARNING CENTER,N/A,1456 EAST BROADWAY RD,MESA,Maricopa,85204,N/A,,25,92,-,N/A,88,-,N/A,92,-,N/A,92,-,N/A,84,-,N/A,84,-,N/A,92,-,N/A,8,0,N/A
ADOBE MONTESSORI SCHOOL,N/A,6400 WEST DEL RIO STREET,CHANDLER,Maricopa,85226,N/A,,72,98.6,-,N/A,97.2,-,N/A,97.2,-,N/A,98.6,-,N/A,95.8,-,N/A,97.2,-,N/A,97.2,-,N/A,2.8,0,N/A
ADVENTURES IN LEARNING,N/A,3821 NORTH THIRD STREET,PHOENIX,Maricopa,85012,N/A,,39,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AGUILAR ELEM,N/A,5800 S Forest Ave,Tempe,Maricopa,85283,N/A,,33,100,-,N/A,100,-,N/A,100,-,N/A,97,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AHWATUKEE FOOTHILLS MONTESSORI CENTER,N/A,3221 EAST CHANDLER BLVD,PHOENIX,Maricopa,85048,N/A,,84,96.4,-,N/A,97.6,-,N/A,97.6,-,N/A,97.6,-,N/A,96.4,-,N/A,95.2,-,N/A,97.6,-,N/A,2.4,0,N/A
AHWATUKEE PRESCHOOL,N/A,11002 SOUTH 48TH STREET,PHOENIX,Maricopa,85044,N/A,,58,96.6,-,N/A,96.6,-,N/A,96.6,-,N/A,93.1,-,N/A,94.8,-,N/A,96.6,-,N/A,94.8,-,N/A,5.2,0,N/A
ALDEA MONTESSORI SCHOOL,N/A,15639 NORTH 40TH STREET,PHOENIX,Maricopa,85032,N/A,,54,79.6,-,N/A,81.5,-,N/A,85.2,-,N/A,87,-,N/A,75.9,-,N/A,83.3,-,N/A,85.2,-,N/A,13,0,N/A
ALEGRIAS CHILD CARE & LEARNING CENTER,N/A,7420 SOUTH RURAL ROAD,TEMPE,Maricopa,85283,N/A,,42,90.5,-,N/A,95.2,-,N/A,92.9,-,N/A,95.2,-,N/A,76.2,-,N/A,85.7,-,N/A,95.2,-,N/A,2.4,0,N/A
ALHAMBRA DISTRICT HEADSTART AGENCY,N/A,3001 W Hazelwood Ave,Phoenix,Maricopa,85019,N/A,,439,98.6,-,N/A,100,-,N/A,99.8,-,N/A,97.5,-,N/A,98.6,-,N/A,99.8,-,N/A,99.8,-,N/A,0,0,N/A
ALL TOGETHER NOW PRESCHOOL AND CHILDCARE,N/A,516 SOUTH DOBSON ROAD,MESA,Maricopa,85202,N/A,,35,82.9,-,N/A,85.7,-,N/A,88.6,-,N/A,80,-,N/A,68.6,-,N/A,77.1,-,N/A,88.6,-,N/A,0,0,N/A
ALTA LOMA ELEMENTARY PRESCHOOL,N/A,9750 NORTH 87TH AVENUE,PEORIA,Maricopa,85345,N/A,,24,95.8,-,N/A,95.8,-,N/A,95.8,-,N/A,95.8,-,N/A,87.5,-,N/A,95.8,-,N/A,95.8,-,N/A,4.2,0,N/A
AMANACER PRESCHOOL,N/A,1000 E MESQUITE ST,GILBERT,Maricopa,85296,N/A,,23,87,-,N/A,87,-,N/A,87,-,N/A,87,-,N/A,87,-,N/A,60.9,-,N/A,43.5,-,N/A,17.4,0,N/A
AMERICAN CHILD CARE,N/A,8515 NORTH 51ST AVENUE,GLENDALE,Maricopa,85302,N/A,,36,97.2,-,N/A,97.2,-,N/A,97.2,-,N/A,97.2,-,N/A,97.2,-,N/A,97.2,-,N/A,97.2,-,N/A,2.8,0,N/A
"AMERICAN CHILD CARE, # 52",N/A,5933 WEST MCDOWELL ROAD,PHOENIX,Maricopa,85035,N/A,,36,97.2,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,86.1,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AMERICAN EVANGELICAL LUTHERAN PRESCHOOL ,N/A,1830 WEST GLENROSA AVENUE,PHOENIX,Maricopa,85015,N/A,,31,100,-,N/A,100,-,N/A,93.5,-,N/A,100,-,N/A,87.1,-,N/A,100,-,N/A,93.5,-,N/A,0,0,N/A
AMIGO PRESCHOOLS,N/A,4035 NORTH 71ST AVENUE,PHOENIX,Maricopa,85033,N/A,,40,90,-,N/A,97.5,-,N/A,97.5,-,N/A,95,-,N/A,85,-,N/A,95,-,N/A,97.5,-,N/A,0,0,N/A
ANDERSON PREPARATORY ACADEMY  L L C,N/A,14235 NORTH 7TH STREET,PHOENIX,Maricopa,85022,N/A,,32,87.5,-,N/A,96.9,-,N/A,90.6,-,N/A,96.9,-,N/A,75,-,N/A,90.6,-,N/A,90.6,-,N/A,6.3,0,N/A
ANTHEM PRESCHOOL,N/A,41020 NORTH FREEDOM WAY,PHOENIX,Maricopa,85086,N/A,,23,87,-,N/A,91.3,-,N/A,91.3,-,N/A,87,-,N/A,91.3,-,N/A,87,-,N/A,87,-,N/A,8.7,0,N/A
APOLLO PRESCHOOL C O O P,N/A,8045 NORTH 47TH AVENUE,GLENDALE,Maricopa,85302,N/A,,21,95.2,-,N/A,95.2,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,95.2,-,N/A,4.8,0,N/A
APOSTLES LUTHERAN PRESCHOOL,N/A,7020 WEST CACTUS ROAD,PEORIA,Maricopa,85381,N/A,,35,74.3,-,N/A,77.1,-,N/A,85.7,-,N/A,88.6,-,N/A,80,-,N/A,77.1,-,N/A,85.7,-,N/A,8.6,0,N/A
ARCADIA MONTESSORI SCHOOL,N/A,5115 EAST VIRGINIA AVENUE,PHOENIX,Maricopa,85008,N/A,,107,81.3,-,N/A,79.4,-,N/A,90.7,-,N/A,83.2,-,N/A,61.7,-,N/A,74.8,-,N/A,85,-,N/A,5.6,0,N/A
ARIZONA CULTURAL ACADEMY & COLLEGE PREP,N/A,7810 SOUTH 42ND PLACE,PHOENIX,Maricopa,85042,N/A,,46,95.7,-,N/A,97.8,-,N/A,97.8,-,N/A,97.8,-,N/A,93.5,-,N/A,97.8,-,N/A,97.8,-,N/A,2.2,0,N/A
ARROWHEAD ELEMENTARY PRESCHOOL,N/A,7490 WEST UNION HILLS DRIVE,GLENDALE,Maricopa,85308,N/A,,26,96.2,-,N/A,96.2,-,N/A,96.2,-,N/A,92.3,-,N/A,92.3,-,N/A,96.2,-,N/A,96.2,-,N/A,3.8,0,N/A
ARROWHEAD MONTESSORI,N/A,14801 NORTH 83RD AVENUE,PEORIA,Maricopa,85381,N/A,,51,66.7,-,N/A,70.6,-,N/A,68.6,-,N/A,72.5,-,N/A,54.9,-,N/A,64.7,-,N/A,68.6,-,N/A,27.5,0,N/A
ARROWHEAD TITLE I PRESCHOOL,N/A,3820 EAST NISBET ROAD,PHOENIX,Maricopa,85032,N/A,,58,93.1,-,N/A,94.8,-,N/A,100,-,N/A,96.6,-,N/A,94.8,-,N/A,94.8,-,N/A,100,-,N/A,0,0,N/A
ASHLAND RANCH ELEM,N/A,1945 S ASHLAND RANCH RD,GILBERT,Maricopa,85295,N/A,,62,96.8,-,N/A,96.8,-,N/A,96.8,-,N/A,91.9,-,N/A,91.9,-,N/A,96.8,-,N/A,95.2,-,N/A,0,4.8,N/A
ASHLAND RANCH ELEM KINDER PREP,N/A,140 S GILBERT RD,GILBERT,Maricopa,85296,N/A,,28,89.3,-,N/A,89.3,-,N/A,92.9,-,N/A,92.9,-,N/A,92.9,-,N/A,89.3,-,N/A,92.9,-,N/A,7.1,0,N/A
ATONEMENT LUTHERAN PRESCHOOL,N/A,4001 WEST BEARDSLEY ROAD,GLENDALE,Maricopa,85308,N/A,,60,95,-,N/A,93.3,-,N/A,95,-,N/A,95,-,N/A,90,-,N/A,93.3,-,N/A,93.3,-,N/A,0,0,N/A
AUGUSTA RANCH ELEMENTARY PRESCHOOL,N/A,9430 EAST NEVILLE AVENUE,MESA,Maricopa,85209,N/A,,38,97.4,-,N/A,97.4,-,N/A,97.4,-,N/A,97.4,-,N/A,94.7,-,N/A,97.4,-,N/A,94.7,-,N/A,5.3,0,N/A
AVONDALE SOUTH,N/A,525 EAST HARRISON DRIVE,AVONDALE,Maricopa,85323,N/A,,31,96.8,-,N/A,100,-,N/A,100,-,N/A,96.8,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AWAKENING SEED SCHOOL,N/A,6630 SOUTH 40TH STREET,PHOENIX,Maricopa,85042,N/A,,77,84.4,-,N/A,83.1,-,N/A,83.1,-,N/A,84.4,-,N/A,81.8,-,N/A,80.5,-,N/A,83.1,-,N/A,16.9,0,N/A
AZ Western College Child Dev. Learning Lab,N/A,PO Box 929,Yuma,Yuma,85366,N/A,,29,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,65.5,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Abundant Life Preschool,N/A,3475 E. Soliere Ave,Flagstaff,Coconino,86004,N/A,,71,95.8,-,N/A,94.4,-,N/A,93,-,N/A,94.4,-,N/A,56.3,-,N/A,91.5,-,N/A,94.4,-,N/A,9.9,0,N/A
Acacia Early Childhood Program,N/A,12955 E. Colossal Cave,Vail,Pima,85641,N/A,,45,97.8,-,N/A,97.8,-,N/A,97.8,-,N/A,97.8,-,N/A,80,-,N/A,97.8,-,N/A,97.8,-,N/A,2.2,0,N/A
Acorn Christian Montessori School,N/A,7555 E. Long Look Dr.,Prescott Valley,Yavapai,86314,N/A,,70,87.1,-,N/A,95.7,-,N/A,92.9,-,N/A,92.9,-,N/A,54.3,-,N/A,94.3,-,N/A,94.3,-,N/A,14.3,1.4,N/A
Acorn Preschool,N/A,290 W. Oak Ave.,Flagstaff,Coconino,86001,N/A,,42,97.6,-,N/A,97.6,-,N/A,97.6,-,N/A,95.2,-,N/A,73.8,-,N/A,95.2,-,N/A,97.6,-,N/A,2.4,0,N/A
Adventure Kids Preschool,N/A,1901 S 7th Ave,Yuma,Yuma,85364,N/A,,44,100,-,N/A,97.7,-,N/A,100,-,N/A,100,-,N/A,77.3,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Adventure School 2,N/A,5801 E. Pima St.,Tucson,Pima,85712,N/A,,33,90.9,-,N/A,93.9,-,N/A,90.9,-,N/A,90.9,-,N/A,42.4,-,N/A,90.9,-,N/A,90.9,-,N/A,3,0,N/A
Alchesay Beginnings Child Development Center,N/A,PO Box 190,Whiteriver,Navajo,85941,N/A,,65,98.5,-,N/A,100,-,N/A,100,-,N/A,96.9,-,N/A,84.6,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Alexandria Play Place,N/A,1895 Lakeside Dr.,Bullhead City,Mohave,86442,N/A,,25,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,72,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
American Lutheran School,N/A,1085 Scott Dr.,Prescott,Yavapai,86301,N/A,,45,88.9,-,N/A,93.3,-,N/A,97.8,-,N/A,95.6,-,N/A,4.4,-,N/A,84.4,-,N/A,93.3,-,N/A,15.6,0,N/A
Amphi Head Start,N/A,602 E. 22nd St.,Tucson,Pima,85713,N/A,,58,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,84.5,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Apache Junction Head Start,N/A,P.O. Box 8490,Apache Junction,Pinal,85120,N/A,,74,97.3,-,N/A,100,-,N/A,98.6,-,N/A,94.6,-,N/A,44.6,-,N/A,100,-,N/A,98.6,-,N/A,1.4,1.4,N/A
Ascencion Lutheran Preschool,N/A,1220 W. Magee Rd.,Tucson,Pima,85704,N/A,,66,95.5,-,N/A,95.5,-,N/A,93.9,-,N/A,93.9,-,N/A,62.1,-,N/A,90.9,-,N/A,93.9,-,N/A,4.5,4.5,N/A
Ash Fork Head Start,N/A,PO Box 374,Ash Fork,Yavapai,86320,N/A,,25,96,-,N/A,96,-,N/A,96,-,N/A,92,-,N/A,72,-,N/A,92,-,N/A,96,-,N/A,4,0,N/A
B.C.U.S.D.#20 - Bullhead Elementary Preschool,N/A,1004 Hancock Rd.,Bullhead City,Mohave,86442,N/A,,62,93.5,-,N/A,98.4,-,N/A,98.4,-,N/A,98.4,-,N/A,79,-,N/A,96.8,-,N/A,98.4,-,N/A,1.6,1.6,N/A
BARBARA B ROBEY ELEM,N/A,272 E SAGEBRUSH ST,LITCHFIELD PARK,Maricopa,85340,N/A,,40,100,-,N/A,100,-,N/A,100,-,N/A,95,-,N/A,97.5,-,N/A,97.5,-,N/A,100,-,N/A,0,2.5,N/A
BEI BEI AMIGOS LANGUAGE PRESCHOOL L L C,N/A,751 EAST UNION HILLS DRIVE SUITE #19,PHOENIX,Maricopa,85024,N/A,,37,78.4,-,N/A,75.7,-,N/A,78.4,-,N/A,83.8,-,N/A,51.4,-,N/A,67.6,-,N/A,83.8,-,N/A,27,0,N/A
BEL ESPIRIT DAY SCHOOL AT PALM VALLEY,N/A,1375 NORTH LITCHFIELD ROAD STE 104,GOODYEAR,Maricopa,85395,N/A,,60,90,-,N/A,93.3,-,N/A,98.3,-,N/A,96.7,-,N/A,85,-,N/A,93.3,-,N/A,91.7,-,N/A,1.7,0,N/A
BELL CANYON PRESCHOOL,N/A,18052 NORTH BLACK CANYON HWY,PHOENIX,Maricopa,85053,N/A,,26,92.3,-,N/A,92.3,-,N/A,100,-,N/A,92.3,-,N/A,96.2,-,N/A,92.3,-,N/A,100,-,N/A,0,0,N/A
BENCHMARK SCHOOL,N/A,4120 EAST ACOMA DRIVE,PHOENIX,Maricopa,85032,N/A,,69,89.9,-,N/A,94.2,-,N/A,92.8,-,N/A,94.2,-,N/A,85.5,-,N/A,85.5,-,N/A,91.3,-,N/A,4.3,0,N/A
BEST FRIENDS PRESCHOOL INC,N/A,2038 SOUTH DON CARLOS,MESA,Maricopa,85202,N/A,,48,95.8,-,N/A,93.8,-,N/A,95.8,-,N/A,97.9,-,N/A,89.6,-,N/A,95.8,-,N/A,95.8,-,N/A,8.3,0,N/A
BEST PALS NEIGHBORHOOD PRESCHOOL,N/A,30845 NORTH CAVE CREEK ROAD #117,CAVE CREEK,Maricopa,85331,N/A,,61,78.7,-,N/A,86.9,-,N/A,86.9,-,N/A,85.2,-,N/A,70.5,-,N/A,75.4,-,N/A,86.9,-,N/A,13.1,0,N/A
BETH EL CENTER FOR EARLY CHILDHOOD EDUCATION,N/A,1118 WEST GLENDALE AVENUE,PHOENIX,Maricopa,85021,N/A,,39,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,87.2,-,N/A,97.4,-,N/A,100,-,N/A,0,0,N/A
BEYOND CARE INC.,N/A,1601 EAST BELL ROAD A19,PHOENIX,Maricopa,85022,N/A,,43,97.7,-,N/A,97.7,-,N/A,97.7,-,N/A,97.7,-,N/A,81.4,-,N/A,97.7,-,N/A,97.7,-,N/A,2.3,0,N/A
BICENTENNIAL SOUTH COMMUNITY ED,N/A,7240 WEST COLTER STREET,GLENDALE,Maricopa,85303,N/A,,36,91.7,-,N/A,94.4,-,N/A,94.4,-,N/A,91.7,-,N/A,91.7,-,N/A,94.4,-,N/A,94.4,-,N/A,0,0,N/A
BLACK MOUNTAIN ELEM CHILD'S PLAY,N/A,P O BOX 426,CAVE CREEK,Maricopa,85327,N/A,,21,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,4.8,0,N/A
"BLACK MOUNTAIN SCIENCE ACADEMY, INC",N/A,21505 NORTH 78TH AVENUE SUITE 120,PEORIA,Maricopa,85382,N/A,,39,92.3,-,N/A,94.9,-,N/A,94.9,-,N/A,94.9,-,N/A,89.7,-,N/A,87.2,-,N/A,94.9,-,N/A,15.4,0,N/A
BOLOGNA ELEM PRESCHOOL,N/A,1625 W FRYE RD,CHANDLER,Maricopa,85224,N/A,,37,100,-,N/A,100,-,N/A,100,-,N/A,97.3,-,N/A,91.9,-,N/A,100,-,N/A,97.3,-,N/A,2.7,0,N/A
BOOKER T. WASHINGTON HEADSTART AGENCY,N/A,1519 E. ADAMS ,Phoenix,Maricopa,85034,N/A,,184,98.4,-,N/A,100,-,N/A,100,-,N/A,97.8,-,N/A,97.3,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
BOULDER CREEK ELEMENTARY PRESCHOOL,N/A,8045 E PORTOBELLO AVE,MESA,Maricopa,85212,N/A,,44,97.7,-,N/A,97.7,-,N/A,100,-,N/A,97.7,-,N/A,97.7,-,N/A,95.5,-,N/A,97.7,-,N/A,4.5,0,N/A
BRIDGES EARLY CHILDHOOD EDUCATION,N/A,P O BOX 50699,MESA,Maricopa,85208,N/A,,68,92.6,-,N/A,95.6,-,N/A,94.1,-,N/A,95.6,-,N/A,86.8,-,N/A,92.6,-,N/A,92.6,-,N/A,10.3,4.4,N/A
BRIDGES EARLY CHILDHOOD EDUCATION,N/A,1201 N 66TH ST,MESA,Maricopa,85205,N/A,,55,90.9,-,N/A,92.7,-,N/A,92.7,-,N/A,92.7,-,N/A,87.3,-,N/A,94.5,-,N/A,92.7,-,N/A,7.3,3.6,N/A
BRIDGES PRESCHOOL,N/A,1997 W ELLIOT RD,CHANDLER,Maricopa,85224,N/A,,63,96.8,-,N/A,95.2,-,N/A,95.2,-,N/A,96.8,-,N/A,95.2,-,N/A,96.8,-,N/A,96.8,-,N/A,4.8,1.6,N/A
BRIDGES PRESCHOOL,N/A,7570 SOUTH WILLOW DRIVE,TEMPE,Maricopa,85283,N/A,,60,85,-,N/A,93.3,-,N/A,95,-,N/A,95,-,N/A,70,-,N/A,93.3,-,N/A,91.7,-,N/A,6.7,0,N/A
BRIDGES PRESCHOOL,N/A,P O BOX 50699,MESA,Maricopa,85208,N/A,,43,83.7,-,N/A,83.7,-,N/A,83.7,-,N/A,83.7,-,N/A,79.1,-,N/A,83.7,-,N/A,104.7,-,N/A,18.6,0,N/A
BRIDGES PRESCHOOL,N/A,"1601 W MAIN ST, BLDG 4",MESA,Maricopa,85201,N/A,,41,90.2,-,N/A,95.1,-,N/A,92.7,-,N/A,95.1,-,N/A,78,-,N/A,95.1,-,N/A,92.7,-,N/A,14.6,7.3,N/A
BRIDGES PRESCHOOL,N/A,20635 S OLD ELLSWORTH RD,QUEEN CREEK,Maricopa,85142,N/A,,77,94.8,-,N/A,93.5,-,N/A,93.5,-,N/A,94.8,-,N/A,83.1,-,N/A,93.5,-,N/A,93.5,-,N/A,3.9,1.3,N/A
BRIGHT BEGINNINGS SCHOOL,N/A,400 NORTH ANDERSEN BLVD,CHANDLER,Maricopa,85224,N/A,,79,94.9,-,N/A,93.7,-,N/A,93.7,-,N/A,94.9,-,N/A,93.7,-,N/A,93.7,-,N/A,93.7,-,N/A,6.3,1.3,N/A
BRIGHT HORIZONS AT MILL AVENUE,N/A,660 SOUTH MILL AVENUE  #101,TEMPE,Maricopa,85281,N/A,,24,83.3,-,N/A,91.7,-,N/A,91.7,-,N/A,87.5,-,N/A,58.3,-,N/A,83.3,-,N/A,83.3,-,N/A,0,0,N/A
BRIGHT HORIZONS AT NORTERRA,N/A,ONE NORTH NORTERRA PARKWAY,PHOENIX,Maricopa,85085,N/A,,87,92,-,N/A,96.6,-,N/A,97.7,-,N/A,97.7,-,N/A,85.1,-,N/A,93.1,-,N/A,96.6,-,N/A,1.1,1.1,N/A
BRIGHT HORIZONS FAMILY CENTER,N/A,1151 WEST RAY ROAD,CHANDLER,Maricopa,85224,N/A,,40,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
BRIGHT HORIZONS FAMILY CENTER,N/A,7660 SOUTH RESEARCH DRIVE,TEMPE,Maricopa,85284,N/A,,111,81.1,-,N/A,91.9,-,N/A,87.4,-,N/A,92.8,-,N/A,73,-,N/A,88.3,-,N/A,82.9,-,N/A,0.9,0,N/A
BRIGHT IDEAS CHILDCARE - BROADWAY,N/A,4358 EAST BROADWAY ROAD,PHOENIX,Maricopa,85040,N/A,,31,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
BRIGHT IDEAS CHILDCARE AT TEMPE,N/A,2720 SOUTH DORSEY LANE,TEMPE,Maricopa,85282,N/A,,54,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,96.3,-,N/A,98.1,-,N/A,100,-,N/A,0,0,N/A
BRIGHTER ANGELS LEARNING CENTER,N/A,3320 WEST SOUTHERN AVENUE STE 102,PHOENIX,Maricopa,85041,N/A,,93,68.8,-,N/A,83.9,-,N/A,93.5,-,N/A,82.8,-,N/A,69.9,-,N/A,84.9,-,N/A,91.4,-,N/A,0,0,N/A
BRIGHTER ANGELS LEARNING CENTER / SCOTTSDALE,N/A,4856 EAST GREENWAY ROAD,SCOTTSDALE,Maricopa,85254,N/A,,46,50,-,N/A,78.3,-,N/A,78.3,-,N/A,71.7,-,N/A,60.9,-,N/A,65.2,-,N/A,93.5,-,N/A,4.3,0,N/A
BRIGHTER ANGELS LEARNING CENTER L L C,N/A,"10740 WEST LOWER BUCKEYE ROAD, #101",AVONDALE,Maricopa,85323,N/A,,57,98.2,-,N/A,100,-,N/A,100,-,N/A,96.5,-,N/A,91.2,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
BRIGHTER BEGINNINGS,N/A,39905 N GAVILAN PEAK PARKWAY,ANTHEM,Maricopa,85086,N/A,,36,88.9,-,N/A,91.7,-,N/A,94.4,-,N/A,94.4,-,N/A,83.3,-,N/A,86.1,-,N/A,94.4,-,N/A,5.6,0,N/A
BRIGHTSKY ACADEMY,N/A,4494 WEST PEORIA AVENUE # 120,GLENDALE,Maricopa,85302,N/A,,21,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,95.2,-,N/A,85.7,-,N/A,90.5,-,N/A,95.2,-,N/A,0,0,N/A
BUCKEYE,N/A,405 SOUTH 7TH STREET,Buckeye,Maricopa,85326,N/A,,29,93.1,-,N/A,96.6,-,N/A,100,-,N/A,96.6,-,N/A,96.6,-,N/A,93.1,-,N/A,100,-,N/A,0,0,N/A
BUCKEYE ,N/A,405 SOUTH 7TH STREET,Buckeye,Maricopa,85326,N/A,,34,100,-,N/A,100,-,N/A,100,-,N/A,94.1,-,N/A,97.1,-,N/A,100,-,N/A,97.1,-,N/A,0,2.9,N/A
BUCKEYE ELEMENTARY SCHOOL DISTRICT PRESCHOOL,N/A,25555 W DURANGO ST,BUCKEYE,Maricopa,85326,N/A,,99,98,-,N/A,97,-,N/A,97,-,N/A,92.9,-,N/A,90.9,-,N/A,93.9,-,N/A,94.9,-,N/A,3,2,N/A
