SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Our Lady Of Perpetual Help - Scottsdale,private,8346 E. Roma Ave.,Scottsdale,Maricopa,85251-,N/A,,31,94,6.5,-,94,6.5,-,87,12.9,-,90,9.7,-,94,6.5,-,16.13,0,N/A
Our Mother Of Sorrows School,private,1800 S. Kolb Road,Tucson,Pima,85710-,N/A,,38,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Oyama Elementary,public,2700 S La Cholla Blvd,Tucson,Pima,85713-,N/A,,77,99,0,-,99,0,-,97,1.3,-,99,0,-,100,0,-,1.3,0,N/A
P.l. Dunbar Elementary ,public,707 W. Grant St ,Phoenix,Maricopa,85007-,N/A,,42,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
P.t. Coe,public,3801 W. Roanoke,Phoenix,Maricopa,85009-,N/A,,163,96,0,-,99,0,-,98,.6,-,99,0,-,100,0,-,.61,0,N/A
Paideia Academy,charter,7777 S 15th Terrace,Phoenix,Maricopa,85042-,N/A,,101,98,0,-,98,0,-,98,0,-,98,0,-,98,0,-,0,0,N/A
Painted Rock Academy,charter,14800 N. 25th Drive,Phoenix,Maricopa,85023-,N/A,,74,96,4.1,-,96,4.1,-,96,4.1,-,96,4.1,-,95,4.1,-,4.05,0,N/A
Painted Sky Elementary,public,12620 N. Woodburne Avenue,Oro Valley,Pima,85755-1835,N/A,,100,100,0,-,99,1,-,99,1,-,100,0,-,100,0,-,1,1,N/A
Palm Lane Elementary,public,2043 North 64th Drive,Phoenix,Maricopa,85035-,N/A,,177,98,0,-,99,0,-,99,0,-,99,0,-,100,0,-,0,0,N/A
Palm Valley Elementary,public,272 Sagebrush St.,Litchfield Park,Maricopa,85340-,N/A,,130,97,3.1,-,97,3.1,-,96,3.8,-,97,3.1,-,97,3.1,-,3.08,.8,N/A
Palmcroft Elementary School,public,901 Palmcroft Dr.,Yuma,Yuma,85364-,N/A,,147,94,0,-,95,0,-,94,0,-,99,0,-,100,0,-,0,.7,N/A
