SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
5th Place Community Childcare,N/A,306 W 5TH PL,MESA,MARICOPA,85201,n,n/a,29,97,3.4,100,97,3.4,100,97,3.4,100,97,3.4,100,97,3.4,100,97,3.4,100,100,0,100,0,3.4,0
91st Psalm Christian School,N/A,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,n,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A Dream Come True Preschool And Learning Center,N/A,6163 S MIDVALE PARK RD,TUCSON,PIMA,85746,n,n/a,24,100,0,100,100,0,100,100,0,100,100,0,100,75,0,75,100,0,100,100,0,100,0,0,0
A Kiddie's Kingdom,N/A,2318 N 35TH AVE,PHOENIX,MARICOPA,85009,y,lpn,76,100,0,100,100,0,100,100,0,100,100,0,100,96,0,96,97,0,97,100,0,100,0,0,0
A Step Ahead Preschool And Montessori,N/A,4221 E CHANDLER BLVD STE 113,PHOENIX,MARICOPA,85048,n,n/a,50,98,2,100,98,2,100,98,2,100,100,4,100,96,4,100,96,4,100,96,4,100,12,0,0
A+ Learning Academy,N/A,7343 E LOBO WAY,PRESCOTT VALLEY,YAVAPAI,86314,n,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d. Wildflower School,N/A,325 S WILDFLOWER DR,GOODYEAR,MARICOPA,85338,y,rn,42,98,2.4,100,98,2.4,100,98,2.4,100,98,2.4,100,93,2.4,98,98,2.4,100,97.6,2.4,100,4.8,0,2.4
A.e.s.d.#63 - Aguila Elementary School,N/A,50023 NORTH 514TH AVENUE,AGUILA,MARICOPA,85320,n,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d.#68 - Alhambra Head Start - Westwood,N/A,4711 N 23RD AVE,PHOENIX,MARICOPA,85015,n,n/a,88,99,0,98.9,100,0,100,100,0,100,100,0,100,93,0,93,0,0,0,100,0,100,0,0,0
A.e.s.d.#68 - Carol G. Peck Elementary School,N/A,5810 N 49TH AVE,GLENDALE,MARICOPA,85301,y,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.e.s.d.#68 - Cordova Primary,N/A,6615 N 39TH AVE,PHOENIX,MARICOPA,85019,n,n/a,56,96,1.8,98.2,96,1.8,98,96,1.8,98,98,1.8,100,95,1.8,96,96,1.8,98,98.2,0,98,1.8,0,1.8
A.e.s.d.#68 - Head Start - Granada Primary School,N/A,3232 W CAMPBELL AVE,PHOENIX,MARICOPA,85017,n,n/a,80,99,0,98.8,100,0,100,100,0,100,100,0,100,98,0,98,100,0,100,100,0,100,0,0,0
A.e.s.d.#68 - Head Start - Sevilla Primary School,N/A,3801 W MISSOURI AVE,PHOENIX,MARICOPA,85019,n,n/a,85,97,0,96.5,98,0,98,100,0,100,100,0,100,99,0,99,100,0,100,100,0,100,0,0,0
A.e.s.d.#68 - James W Rice Primary,N/A,4530 W CAMPBELL AVE,PHOENIX,MARICOPA,85031,n,n/a,84,100,0,100,100,0,100,100,0,100,100,0,100,98,0,98,100,0,100,100,0,100,0,0,0
A.j.u.s.d.#43 - Young Parents Program,N/A,2805 S IRONWOOD DR,APACHE JUNCTION,PINAL,85120,y,rn,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
A.v.s.d.#51 - Robles Elementary Preschool,N/A,10105 S SASABE RD,TUCSON,PIMA,85736,y,rn,54,93,7.4,100,93,7.4,100,94,5.6,100,93,7.4,100,76,7.4,76,93,7.4,100,96.3,3.7,100,5.6,1.9,3.7
Above And Beyond Preschool,N/A,17475 W BELL RD,SURPRISE,MARICOPA,85374,n,n/a,120,94,5.8,100,94,5.8,100,94,5.8,100,94,5.8,100,94,5.8,100,94,5.8,100,94.2,5.8,100,5.8,0,5.8
Abundant Life Preschool,N/A,3475 E SOLIERE AVE,FLAGSTAFF,COCONINO,86004,n,n/a,74,93,6.8,100,93,6.8,100,93,6.8,100,93,6.8,100,65,6.8,65,93,6.8,100,100,0,100,6.8,0,6.8
Abundant Love Christian Child Development Center,N/A,6849 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,n,n/a,31,94,0,93.5,97,0,97,100,0,100,74,0,81,97,0,97,90,0,90,100,0,100,0,6.5,0
Academy For Early Learning,N/A,51020 US HIGHWAY 60 89,WICKENBURG,MARICOPA,85390,n,n/a,22,96,0,95.5,96,0,96,100,0,100,100,0,100,86,0,86,100,0,100,100,0,100,0,0,0
Accelerarted Learning Lab Preschool,N/A,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,n,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Acorn Christian Montessori School,N/A,7555 E LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,n,n/a,70,94,5.7,100,94,5.7,100,94,5.7,100,94,5.7,100,100,5.7,100,94,5.7,100,94.3,5.7,100,5.7,0,5.7
Acorn Preschool,N/A,290 W OAK AVE,FLAGSTAFF,COCONINO,86001,n,n/a,37,97,2.7,100,97,2.7,100,97,2.7,100,97,2.7,100,95,2.7,97,95,2.7,97,97.3,2.7,100,2.7,0,2.7
Adams Traditional Beginnings,N/A,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,n,n/a,193,98,1.6,100,98,1.6,100,98,1.6,100,98,1.6,100,98,1.6,100,98,1.6,100,98.4,1.6,100,2.1,0,1.6
Adobe Montessori School,N/A,64000 WEST DEL RIO STREET,CHANDLER,MARICOPA,85226,n,n/a,83,98,2.4,100,99,1.2,100,98,2.4,100,95,2.4,100,95,2.4,100,96,2.4,99,100,0,100,0,4.8,0
Advance U,N/A,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,n,n/a,35,100,0,100,100,0,100,97,0,97,100,0,100,94,0,94,100,0,100,97.1,0,97,0,0,0
Adventure School 2,N/A,5801 E PIMA ST,TUCSON,PIMA,85712,n,n/a,37,84,13.5,97.3,97,2.7,100,97,2.7,100,95,2.7,100,100,2.7,100,97,2.7,100,94.6,5.4,100,10.8,0,0
Adventures In Learning,N/A,3821 N 3RD ST,PHOENIX,MARICOPA,85012,n,n/a,35,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Afm Chandler Montessori,N/A,5570 W CHANDLER BLVD,CHANDLER,MARICOPA,85226,n,n/a,52,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Aguilar Head Start,N/A,5800 S FOREST AVE,TEMPE,MARICOPA,85283,n,n/a,< 20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ahwatukee Foothills Montessori Center,N/A,3221 E CHANDLER BLVD,PHOENIX,MARICOPA,85048,n,n/a,47,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
